Energy Prices Average Price to All Users Jet Fuel United States High price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHPRICE.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A
22:21:27 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHPRICE.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,35.45282
2049,35.317905
2048,35.079922
2047,34.903862
2046,34.762882
2045,34.488319
2044,34.204624
2043,33.880611
2042,33.549702
2041,33.295849
2040,32.982639
2039,32.473381
2038,32.216358
2037,31.895065
2036,31.573095
2035,31.05859
2034,30.730854
2033,30.506287
2032,30.280666
2031,29.156458
2030,28.508884
2029,28.278908
2028,26.803877
2027,26.336857
2026,26.329897
2025,25.713488
2024,24.950581
2023,23.80666
2022,21.532677
2021,20.023891
2020,18.943096
2019,14.641048
