Energy Prices Average Price to All Users Natural Gas United States High price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHPRICE.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A
22:20:55 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHPRICE.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,6.625464
2049,6.590005
2048,6.542791
2047,6.503532
2046,6.462284
2045,6.415889
2044,6.365001
2043,6.313505
2042,6.260724
2041,6.200911
2040,6.137683
2039,6.094499
2038,6.072178
2037,6.06993
2036,6.060985
2035,6.013477
2034,5.966619
2033,5.896076
2032,5.794192
2031,5.703227
2030,5.637357
2029,5.604632
2028,5.485194
2027,5.365726
2026,5.211248
2025,5.025969
2024,4.835521
2023,4.741659
2022,4.731191
2021,4.790142
2020,4.715748
2019,5.031167
