Energy Prices Average Price to All Users Residual Fuel Oil United States High price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHPRICE.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A
22:21:17 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHPRICE.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,27.999557
2049,28.184471
2048,27.966806
2047,27.976086
2046,28.105455
2045,27.62863
2044,27.701433
2043,27.620132
2042,27.444298
2041,27.205023
2040,27.032093
2039,26.632486
2038,26.422304
2037,26.103365
2036,25.792866
2035,25.430319
2034,25.064522
2033,24.906824
2032,24.640903
2031,23.722755
2030,23.223721
2029,22.949953
2028,22.055429
2027,21.716129
2026,21.622944
2025,21.048912
2024,20.296093
2023,19.125557
2022,17.259911
2021,15.786534
2020,14.48279
2019,9.835584
