Energy Prices Transportation Electricity United States High price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHPRICE.PRCE_REAL_TRN_NA_ELC_NA_NA_Y13DLRPMMBTU.A
22:42:40 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHPRICE.PRCE_REAL_TRN_NA_ELC_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,34.192211
2049,34.172344
2048,34.185429
2047,34.129513
2046,34.109501
2045,33.983479
2044,33.893051
2043,33.85585
2042,33.904846
2041,33.940037
2040,34.002434
2039,34.114113
2038,34.252022
2037,34.456909
2036,34.747501
2035,35.029335
2034,35.418747
2033,35.548706
2032,35.547173
2031,35.575417
2030,35.687237
2029,35.875904
2028,36.048859
2027,36.227028
2026,36.31406
2025,36.135765
2024,35.90926
2023,35.645512
2022,34.947945
2021,34.319122
2020,34.096516
2019,33.267578
