Real Petroleum Prices Transportation Ethanol Wholesale Price High price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHPRICE.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A
22:30:32 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHPRICE.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A 2019 $/gal
2050,2.407502
2049,2.396076
2048,2.344877
2047,2.335218
2046,2.29142
2045,2.251525
2044,2.298064
2043,2.532899
2042,2.51122
2041,2.542501
2040,2.500996
2039,2.477473
2038,2.552544
2037,2.450852
2036,2.386491
2035,2.275895
2034,2.071756
2033,1.955201
2032,1.715038
2031,1.674004
2030,1.648954
2029,1.561859
2028,1.521279
2027,1.47974
2026,1.447917
2025,1.434847
2024,1.414702
2023,1.450044
2022,1.475367
2021,1.413393
2020,1.36267
2019,1.382022
