Energy Prices Average Price to All Users Distillate Fuel Oil United States High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A
21:00:04 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,24.733093
2049,24.710491
2048,24.599993
2047,24.504114
2046,24.471661
2045,24.391903
2044,24.273424
2043,24.200127
2042,24.026608
2041,23.718243
2040,23.590302
2039,23.318647
2038,23.139502
2037,22.944302
2036,22.741768
2035,22.545525
2034,22.378866
2033,22.207582
2032,21.961407
2031,21.799158
2030,21.594311
2029,21.168087
2028,20.924433
2027,20.868565
2026,20.755848
2025,20.696857
2024,20.647764
2023,20.465155
2022,20.54138
2021,20.415707
2020,20.797272
2019,22.055973
