Energy Prices Average Price to All Users Electricity United States High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A
20:59:02 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,27.529549
2049,27.718801
2048,27.886778
2047,27.896826
2046,28.000673
2045,28.154177
2044,28.231344
2043,28.36237
2042,28.471224
2041,28.522665
2040,28.589592
2039,28.637774
2038,28.721451
2037,28.803919
2036,28.848379
2035,28.911161
2034,29.044115
2033,29.090996
2032,29.108845
2031,29.134777
2030,29.21981
2029,29.337994
2028,29.634979
2027,29.748116
2026,29.77388
2025,29.53688
2024,29.322454
2023,29.277767
2022,29.447557
2021,29.647636
2020,29.948257
2019,30.446203
