Energy Prices Average Price to All Users Jet Fuel United States High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A
21:00:12 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,19.246504
2049,19.187786
2048,19.048964
2047,18.893965
2046,18.759968
2045,18.576601
2044,18.359287
2043,18.236553
2042,18.007267
2041,17.624344
2040,17.454153
2039,17.1124
2038,16.887938
2037,16.671501
2036,16.369425
2035,16.180124
2034,15.980424
2033,15.746248
2032,15.486683
2031,15.276074
2030,14.982375
2029,14.724133
2028,14.445936
2027,14.345939
2026,14.200037
2025,14.085094
2024,13.971074
2023,13.720527
2022,13.616841
2021,13.495269
2020,13.906547
2019,14.641048
