Energy Prices Average Price to All Users Natural Gas United States High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A
20:59:53 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,4.67511
2049,4.688913
2048,4.693122
2047,4.7055
2046,4.714323
2045,4.724725
2044,4.736333
2043,4.764852
2042,4.795759
2041,4.813099
2040,4.820951
2039,4.849547
2038,4.868427
2037,4.873511
2036,4.857602
2035,4.865875
2034,4.881987
2033,4.880789
2032,4.857075
2031,4.851584
2030,4.871766
2029,4.853137
2028,4.895967
2027,4.892859
2026,4.833202
2025,4.695887
2024,4.565602
2023,4.542152
2022,4.583919
2021,4.70297
2020,4.748605
2019,5.031134
