Energy Prices Average Price to All Users Propane United States High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A
21:00:27 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,26.46924
2049,26.321663
2048,26.18099
2047,26.036385
2046,25.875414
2045,25.681837
2044,25.506941
2043,25.268927
2042,24.919193
2041,24.568468
2040,24.253756
2039,23.905476
2038,23.57902
2037,23.277298
2036,22.992851
2035,22.689655
2034,22.401123
2033,22.117294
2032,21.932159
2031,21.804482
2030,21.696377
2029,21.42873
2028,21.220589
2027,20.872587
2026,20.305279
2025,19.494778
2024,18.76907
2023,18.350334
2022,18.016275
2021,17.680374
2020,17.773758
2019,18.51741
