Energy Prices Average Price to All Users Residual Fuel Oil United States High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A
20:59:58 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,14.676933
2049,14.605372
2048,14.498084
2047,14.372695
2046,14.155053
2045,13.543653
2044,13.923502
2043,13.660041
2042,13.440591
2041,13.157739
2040,12.70003
2039,12.406103
2038,12.323972
2037,12.174565
2036,12.161214
2035,11.453509
2034,11.087434
2033,10.981452
2032,11.553229
2031,10.653408
2030,10.562898
2029,11.052091
2028,10.012545
2027,10.025745
2026,10.559118
2025,9.210019
2024,9.47372
2023,8.327301
2022,8.024069
2021,9.931478
2020,9.887449
2019,9.748181
