Real Petroleum Prices Transportation Ethanol Wholesale Price High oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.HIGHOGS.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A
21:02:22 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.HIGHOGS.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A 2019 $/gal
2050,2.039473
2049,2.029274
2048,2.024441
2047,2.018774
2046,2.001064
2045,1.985212
2044,1.886547
2043,1.886583
2042,1.87663
2041,1.789776
2040,1.793819
2039,1.762262
2038,1.757051
2037,1.734947
2036,1.745344
2035,1.739892
2034,1.734314
2033,1.728749
2032,1.725683
2031,1.719119
2030,1.713238
2029,1.636559
2028,1.607802
2027,1.551721
2026,1.496652
2025,1.482139
2024,1.437494
2023,1.449858
2022,1.466228
2021,1.398428
2020,1.347345
2019,1.382022
