Energy Prices Average Price to All Users Distillate Fuel Oil United States Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A
22:50:25 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,17.753887
2049,17.672739
2048,17.651005
2047,17.64081
2046,17.641706
2045,17.654715
2044,17.597391
2043,17.546669
2042,17.563236
2041,17.560513
2040,17.549711
2039,17.490908
2038,17.411867
2037,17.438969
2036,17.330513
2035,17.304173
2034,17.259142
2033,17.339882
2032,17.270149
2031,17.186886
2030,17.17103
2029,16.802975
2028,16.769114
2027,16.783676
2026,16.707825
2025,16.56151
2024,16.544916
2023,16.503633
2022,16.584774
2021,16.387793
2020,16.950485
2019,22.055984
