Energy Prices Average Price to All Users Electricity United States Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A
22:50:38 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,29.364443
2049,29.525368
2048,29.74597
2047,29.840845
2046,29.857542
2045,30.06181
2044,30.132868
2043,30.1451
2042,30.240353
2041,30.354343
2040,30.412174
2039,30.522919
2038,30.48365
2037,30.536894
2036,30.56176
2035,30.590456
2034,30.661592
2033,30.684929
2032,30.651215
2031,30.565813
2030,30.663418
2029,30.690298
2028,30.755602
2027,30.791485
2026,30.596184
2025,30.402079
2024,29.995865
2023,29.747503
2022,29.674088
2021,29.724421
2020,29.811403
2019,30.45331
