Energy Prices Average Price to All Users Jet Fuel United States Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A
22:50:21 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,11.518442
2049,11.407825
2048,11.3683
2047,11.340735
2046,11.303033
2045,11.301014
2044,11.207071
2043,11.139621
2042,11.100608
2041,11.034948
2040,10.994493
2039,10.892239
2038,10.779571
2037,10.790019
2036,10.617508
2035,10.533544
2034,10.416224
2033,10.40132
2032,10.300452
2031,10.192373
2030,10.149875
2029,9.978241
2028,9.918781
2027,9.899918
2026,9.785111
2025,9.615607
2024,9.53806
2023,9.412609
2022,9.280581
2021,9.048498
2020,9.700584
2019,14.641048
