Energy Prices Average Price to All Users Natural Gas United States Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A
22:50:34 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,6.067019
2049,6.03733
2048,6.001885
2047,5.986842
2046,5.970544
2045,5.969592
2044,5.9727
2043,5.966618
2042,5.939116
2041,5.912073
2040,5.886945
2039,5.851478
2038,5.802144
2037,5.757237
2036,5.715022
2035,5.708075
2034,5.730069
2033,5.710212
2032,5.663062
2031,5.644915
2030,5.668188
2029,5.625721
2028,5.613164
2027,5.540946
2026,5.421782
2025,5.263956
2024,5.053318
2023,4.923
2022,4.873929
2021,4.860271
2020,4.77142
2019,5.03153
