Energy Prices Average Price to All Users Propane United States Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A
22:50:09 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,14.937911
2049,14.898279
2048,14.852997
2047,14.820199
2046,14.795175
2045,14.794871
2044,14.791894
2043,14.765389
2042,14.73506
2041,14.683507
2040,14.663568
2039,14.599186
2038,14.67261
2037,14.602483
2036,14.522438
2035,14.479871
2034,14.452249
2033,14.391714
2032,14.324772
2031,14.336749
2030,14.377727
2029,14.306072
2028,14.262863
2027,14.141339
2026,13.954438
2025,13.653877
2024,13.341879
2023,13.168752
2022,13.114327
2021,13.301057
2020,14.846825
2019,18.517456
