Energy Prices Average Price to All Users Residual Fuel Oil United States Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A
22:50:29 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,7.305071
2049,7.199756
2048,7.165399
2047,7.096966
2046,7.612527
2045,7.490776
2044,7.44358
2043,7.418302
2042,7.75627
2041,7.754327
2040,7.784115
2039,7.803087
2038,7.917583
2037,7.951867
2036,7.842338
2035,7.877214
2034,7.828736
2033,7.906211
2032,7.854865
2031,7.7789
2030,7.862728
2029,7.777151
2028,7.756919
2027,7.748603
2026,7.62307
2025,7.436378
2024,7.402738
2023,7.230556
2022,6.982884
2021,6.870183
2020,6.932382
2019,9.649467
