Real Petroleum Prices Transportation Ethanol Wholesale Price Low price AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWPRICE.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A
22:50:46 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWPRICE.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A 2019 $/gal
2050,2.048938
2049,2.042345
2048,2.037408
2047,2.016572
2046,2.011511
2045,2.022519
2044,2.027156
2043,2.000761
2042,1.998411
2041,1.98277
2040,1.968574
2039,1.933851
2038,1.905257
2037,1.874114
2036,1.849218
2035,1.847791
2034,1.835429
2033,1.839427
2032,1.770355
2031,1.758895
2030,1.756951
2029,1.680503
2028,1.642756
2027,1.575963
2026,1.511719
2025,1.501037
2024,1.454212
2023,1.456219
2022,1.465791
2021,1.396056
2020,1.337463
2019,1.382022
