Energy Prices Average Price to All Users Distillate Fuel Oil United States Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A
22:21:16 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,29.361214
2049,29.166376
2048,28.937847
2047,28.7048
2046,28.420425
2045,28.254137
2044,28.103321
2043,27.935118
2042,27.634819
2041,27.293423
2040,26.915091
2039,26.711704
2038,26.410603
2037,26.170469
2036,26.184246
2035,25.87775
2034,25.565056
2033,25.226677
2032,24.698051
2031,24.377359
2030,23.66803
2029,23.454382
2028,23.183043
2027,22.910986
2026,22.578957
2025,22.257725
2024,22.020922
2023,21.858564
2022,21.86661
2021,21.579021
2020,21.277313
2019,22.055975
