Energy Prices Average Price to All Users Electricity United States Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A
22:21:30 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,31.730837
2049,31.858629
2048,32.074459
2047,32.136505
2046,32.073269
2045,32.155891
2044,32.145435
2043,32.040073
2042,32.200867
2041,32.229801
2040,32.196045
2039,32.124554
2038,32.082233
2037,32.132591
2036,32.181149
2035,32.282635
2034,32.286354
2033,32.22337
2032,32.023808
2031,31.908009
2030,31.767559
2029,31.808891
2028,31.918734
2027,31.805941
2026,31.733149
2025,31.246113
2024,30.695229
2023,30.401201
2022,30.191887
2021,30.060843
2020,29.896217
2019,30.452873
