Energy Prices Average Price to All Users Jet Fuel United States Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A
22:21:12 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,23.982368
2049,23.764847
2048,23.508717
2047,23.242674
2046,22.898882
2045,22.614182
2044,22.395746
2043,22.177109
2042,21.841476
2041,21.457193
2040,21.050671
2039,20.736416
2038,20.364124
2037,20.001146
2036,19.886019
2035,19.614206
2034,19.28392
2033,18.859266
2032,18.328594
2031,17.962858
2030,17.283773
2029,17.049147
2028,16.755442
2027,16.378916
2026,16.040281
2025,15.747663
2024,15.393543
2023,15.140733
2022,14.989912
2021,14.733965
2020,14.432171
2019,14.641048
