Energy Prices Average Price to All Users Natural Gas United States Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A
22:21:25 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,9.161855
2049,8.996848
2048,8.872348
2047,8.808091
2046,8.661633
2045,8.540022
2044,8.453112
2043,8.275684
2042,8.234862
2041,8.1648
2040,8.10553
2039,8.043933
2038,7.971137
2037,7.88754
2036,7.793323
2035,7.729581
2034,7.687481
2033,7.572482
2032,7.423522
2031,7.311266
2030,7.132076
2029,7.007439
2028,6.825246
2027,6.605129
2026,6.393732
2025,6.088349
2024,5.71506
2023,5.479237
2022,5.314215
2021,5.180276
2020,4.913232
2019,5.031387
