Energy Prices Average Price to All Users Propane United States Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A
22:20:50 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,32.698792
2049,32.265823
2048,31.988861
2047,31.632366
2046,31.148657
2045,30.699034
2044,30.363613
2043,29.886154
2042,29.458881
2041,28.923855
2040,28.503084
2039,28.068262
2038,27.727448
2037,27.413239
2036,27.107956
2035,26.759308
2034,26.335407
2033,25.910786
2032,25.387327
2031,25.017576
2030,24.546713
2029,24.270887
2028,23.898739
2027,23.463476
2026,22.922258
2025,22.156595
2024,21.273119
2023,20.564276
2022,19.816811
2021,18.904356
2020,18.281178
2019,18.517103
