Energy Prices Average Price to All Users Residual Fuel Oil United States Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A
22:21:21 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,16.048395
2049,16.101439
2048,16.484634
2047,16.331905
2046,15.610167
2045,14.833103
2044,14.62313
2043,14.486199
2042,14.339161
2041,14.092827
2040,13.94848
2039,13.693054
2038,13.511702
2037,13.305962
2036,13.076345
2035,12.891634
2034,12.623106
2033,12.348716
2032,11.996309
2031,11.795731
2030,11.260697
2029,11.125595
2028,10.720873
2027,10.571946
2026,10.244217
2025,10.072904
2024,9.735341
2023,9.350546
2022,8.916767
2021,10.536247
2020,10.22692
2019,9.744498
