Real Petroleum Prices Transportation Ethanol Wholesale Price Low oil and gas supply AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.LOWOGS.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A
22:21:39 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.LOWOGS.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A 2019 $/gal
2050,2.161612
2049,2.147373
2048,2.104344
2047,2.103101
2046,2.020969
2045,2.0525
2044,1.929398
2043,1.919435
2042,1.91222
2041,1.886005
2040,1.878464
2039,1.868669
2038,1.850859
2037,1.840605
2036,1.842246
2035,1.823704
2034,1.81601
2033,1.819943
2032,1.79772
2031,1.788836
2030,1.775969
2029,1.695586
2028,1.653546
2027,1.601643
2026,1.531368
2025,1.512754
2024,1.474828
2023,1.46183
2022,1.487408
2021,1.414706
2020,1.353855
2019,1.382022
