Energy Prices Average Price to All Users Distillate Fuel Oil United States Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A
19:25:52 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_REAL_TEN_NA_DFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,27.305868
2049,27.152634
2048,26.98501
2047,26.746401
2046,26.487108
2045,26.471901
2044,26.1014
2043,25.903061
2042,25.739941
2041,25.361546
2040,25.189915
2039,25.188585
2038,24.966681
2037,24.760366
2036,24.599989
2035,24.353363
2034,24.132757
2033,23.939878
2032,23.565245
2031,23.400127
2030,23.137453
2029,22.7668
2028,22.55971
2027,22.215662
2026,22.167187
2025,21.766514
2024,21.769125
2023,21.507311
2022,21.509706
2021,21.307634
2020,21.332649
2019,22.055973
