Energy Prices Average Price to All Users Electricity United States Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A
21:22:48 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,29.024153
2049,29.110025
2048,29.242496
2047,29.3195
2046,29.313385
2045,29.398705
2044,29.460825
2043,29.472883
2042,29.567022
2041,29.642439
2040,29.694433
2039,29.852777
2038,29.942001
2037,29.893633
2036,29.993071
2035,30.084644
2034,30.257355
2033,30.234314
2032,30.131779
2031,30.270491
2030,30.394573
2029,30.452465
2028,30.63155
2027,30.753353
2026,30.593702
2025,30.250845
2024,29.849365
2023,29.663189
2022,29.657566
2021,29.732624
2020,29.931808
2019,30.454449
