Energy Prices Average Price to All Users Jet Fuel United States Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A
19:25:56 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_REAL_TEN_NA_JFL_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,21.858753
2049,21.76668
2048,21.518599
2047,21.175344
2046,20.752966
2045,20.70055
2044,20.276285
2043,20.040815
2042,19.834574
2041,19.450199
2040,19.197943
2039,19.106794
2038,18.83005
2037,18.62429
2036,18.383089
2035,18.13835
2034,17.868292
2033,17.583839
2032,17.18742
2031,17.012842
2030,16.66482
2029,16.425371
2028,16.214653
2027,15.739541
2026,15.71048
2025,15.254274
2024,15.181978
2023,14.784328
2022,14.677915
2021,14.469915
2020,14.44945
2019,14.641048
