Energy Prices Average Price to All Users Natural Gas United States Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A
19:25:33 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,6.017784
2049,5.972738
2048,5.951627
2047,5.931022
2046,5.887419
2045,5.848293
2044,5.825001
2043,5.807943
2042,5.796995
2041,5.783163
2040,5.781797
2039,5.784865
2038,5.780482
2037,5.761975
2036,5.729753
2035,5.739636
2034,5.742004
2033,5.714075
2032,5.647746
2031,5.637339
2030,5.679059
2029,5.643917
2028,5.63208
2027,5.552284
2026,5.40272
2025,5.198734
2024,4.979748
2023,4.868649
2022,4.833207
2021,4.847678
2020,4.760718
2019,5.031696
