Energy Prices Average Price to All Users Propane United States Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A
19:24:52 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_REAL_TEN_NA_PROP_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,28.93576
2049,28.642916
2048,28.331856
2047,27.952341
2046,27.59053
2045,27.302423
2044,27.004362
2043,26.704369
2042,26.396612
2041,26.017603
2040,25.756554
2039,25.476082
2038,25.156733
2037,24.818119
2036,24.470886
2035,24.152052
2034,23.87743
2033,23.62575
2032,23.351419
2031,23.271036
2030,23.235031
2029,23.067327
2028,22.825674
2027,22.424021
2026,21.841379
2025,20.967056
2024,20.115549
2023,19.47764
2022,18.891821
2021,18.164116
2020,17.795782
2019,18.517338
