Energy Prices Average Price to All Users Residual Fuel Oil United States Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A
19:25:46 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_REAL_TEN_NA_RFO_NA_NA_Y13DLRPMMBTU.A 2019 $/MMBtu
2050,15.920506
2049,16.344221
2048,16.14673
2047,15.942997
2046,15.677839
2045,15.086976
2044,15.073577
2043,14.843826
2042,14.283981
2041,14.229108
2040,14.113455
2039,13.914393
2038,13.736769
2037,13.224297
2036,13.116432
2035,12.69766
2034,12.064242
2033,11.933399
2032,11.676685
2031,11.605115
2030,11.37082
2029,11.842731
2028,11.536976
2027,11.210336
2026,10.457724
2025,9.876921
2024,9.554516
2023,9.183429
2022,10.173702
2021,10.271381
2020,10.19247
2019,9.750307
