Real Petroleum Prices Transportation Ethanol Wholesale Price Reference AEO2020
https://www.eia.gov/opendata/v1/qb.php?sdid=AEO.2020.REF2020.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A
20:21:12 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2020.REF2020.PRCE_WHL_TRN_NA_ETH_NA_USA_Y13DLRPGLN.A 2019 $/gal
2050,2.155555
2049,2.057497
2048,2.007168
2047,1.985425
2046,1.942604
2045,1.910831
2044,1.916915
2043,1.878256
2042,1.855031
2041,1.818087
2040,1.812236
2039,1.804499
2038,1.780928
2037,1.774733
2036,1.766854
2035,1.762547
2034,1.755923
2033,1.76473
2032,1.760879
2031,1.754981
2030,1.749368
2029,1.657689
2028,1.622648
2027,1.564104
2026,1.518432
2025,1.503232
2024,1.453668
2023,1.460608
2022,1.474135
2021,1.402889
2020,1.345649
2019,1.382022
