U.S. Aviation Gasoline Retail Sales by Refiners
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=ema_eppv_ptg_nus_dpg&f=m
14:54:29 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Month,U.S. Aviation Gasoline Retail Sales by Refiners Dollars per Gallon
Mar 2022,4.581
Feb 2022,
Jan 2022,3.689
Dec 2021,
Nov 2021,3.778
Oct 2021,3.783
Sep 2021,
Aug 2021,
Jul 2021,
Jun 2021,3.492
May 2021,3.447
Apr 2021,3.363
Mar 2021,3.364
Feb 2021,3.148
Jan 2021,2.829
Dec 2020,2.674
Nov 2020,2.485
Oct 2020,2.495
Sep 2020,2.613
Aug 2020,2.805
Jul 2020,2.761
Jun 2020,
May 2020,
Apr 2020,
Mar 2020,
Feb 2020,
Jan 2020,
Dec 2019,
Nov 2019,
Oct 2019,
Sep 2019,
Aug 2019,
Jul 2019,
Jun 2019,
May 2019,
Apr 2019,
Mar 2019,
Feb 2019,
Jan 2019,
Dec 2018,
Nov 2018,
Oct 2018,
Sep 2018,
Aug 2018,
Jul 2018,
Jun 2018,
May 2018,
Apr 2018,
Mar 2018,
Feb 2018,
Jan 2018,
Dec 2017,
Nov 2017,
Oct 2017,
Sep 2017,
Aug 2017,
Jul 2017,
Jun 2017,
May 2017,
Apr 2017,
Mar 2017,
Feb 2017,
Jan 2017,
Dec 2016,
Nov 2016,
Oct 2016,
Sep 2016,
Aug 2016,
Jul 2016,
Jun 2016,
May 2016,
Apr 2016,
Mar 2016,
Feb 2016,
Jan 2016,
Dec 2015,
Nov 2015,
Oct 2015,
Sep 2015,
Aug 2015,
Jul 2015,
Jun 2015,
May 2015,
Apr 2015,
Mar 2015,
Feb 2015,
Jan 2015,
Dec 2014,
Nov 2014,
Oct 2014,
Sep 2014,
Aug 2014,
Jul 2014,
Jun 2014,
May 2014,
Apr 2014,
Mar 2014,
Feb 2014,4.142
Jan 2014,
Dec 2013,3.678
Nov 2013,3.674
Oct 2013,3.653
Sep 2013,3.982
Aug 2013,4.298
Jul 2013,4.224
Jun 2013,4.191
May 2013,3.9
Apr 2013,3.86
Mar 2013,4.022
Feb 2013,4.06
Jan 2013,
Dec 2012,3.599
Nov 2012,3.561
Oct 2012,4.064
Sep 2012,4.262
Aug 2012,4.091
Jul 2012,
Jun 2012,
May 2012,
Apr 2012,4.313
Mar 2012,4.133
Feb 2012,
Jan 2012,3.732
Dec 2011,
Nov 2011,3.62
Oct 2011,3.697
Sep 2011,3.915
Aug 2011,3.92
Jul 2011,4.027
Jun 2011,3.913
May 2011,4.091
Apr 2011,4.132
Mar 2011,3.767
Feb 2011,3.374
Jan 2011,3.323
Dec 2010,3.218
Nov 2010,3.095
Oct 2010,3
Sep 2010,2.893
Aug 2010,2.967
Jul 2010,3.028
Jun 2010,2.981
May 2010,3.129
Apr 2010,3.201
Mar 2010,3.103
Feb 2010,2.855
Jan 2010,2.914
Dec 2009,2.799
Nov 2009,2.845
Oct 2009,2.693
Sep 2009,2.684
Aug 2009,2.764
Jul 2009,2.607
Jun 2009,2.707
May 2009,2.423
Apr 2009,2.15
Mar 2009,1.977
Feb 2009,1.974
Jan 2009,1.857
Dec 2008,1.814
Nov 2008,2.23
Oct 2008,2.975
Sep 2008,3.837
Aug 2008,3.792
Jul 2008,3.929
Jun 2008,3.965
May 2008,3.615
Apr 2008,3.358
Mar 2008,3.296
Feb 2008,2.954
Jan 2008,2.987
Dec 2007,2.975
Nov 2007,3.067
Oct 2007,2.855
Sep 2007,2.9
Aug 2007,2.823
Jul 2007,3.053
Jun 2007,2.978
May 2007,3.096
Apr 2007,2.969
Mar 2007,2.627
Feb 2007,2.285
Jan 2007,2.179
Dec 2006,2.349
Nov 2006,2.353
Oct 2006,2.385
Sep 2006,2.532
Aug 2006,3.058
Jul 2006,3.103
Jun 2006,3.057
May 2006,3.013
Apr 2006,2.869
Mar 2006,2.474
Feb 2006,2.324
Jan 2006,2.391
Dec 2005,2.193
Nov 2005,2.186
Oct 2005,2.708
Sep 2005,2.808
Aug 2005,2.386
Jul 2005,2.23
Jun 2005,2.116
May 2005,2.121
Apr 2005,2.217
Mar 2005,2.015
Feb 2005,1.867
Jan 2005,1.738
Dec 2004,1.767
Nov 2004,1.87
Oct 2004,1.955
Sep 2004,1.878
Aug 2004,1.849
Jul 2004,1.854
Jun 2004,1.923
May 2004,1.944
Apr 2004,1.774
Mar 2004,
Feb 2004,
Jan 2004,
Dec 2003,1.466
Nov 2003,
Oct 2003,1.508
Sep 2003,1.589
Aug 2003,1.622
Jul 2003,1.519
Jun 2003,1.457
May 2003,1.398
Apr 2003,
Mar 2003,
Feb 2003,
Jan 2003,1.397
Dec 2002,1.398
Nov 2002,1.418
Oct 2002,1.43
Sep 2002,1.391
Aug 2002,1.369
Jul 2002,1.392
Jun 2002,1.273
May 2002,1.289
Apr 2002,1.298
Mar 2002,1.226
Feb 2002,1.106
Jan 2002,1.118
Dec 2001,1.158
Nov 2001,1.194
Oct 2001,1.253
Sep 2001,1.424
Aug 2001,1.363
Jul 2001,1.346
Jun 2001,1.451
May 2001,1.509
Apr 2001,1.349
Mar 2001,1.245
Feb 2001,1.292
Jan 2001,1.285
Dec 2000,1.261
Nov 2000,1.349
Oct 2000,1.349
Sep 2000,1.382
Aug 2000,
Jul 2000,1.426
Jun 2000,1.398
May 2000,1.268
