U.S. Kerosene-Type Jet Fuel Retail Sales by Refiners
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMA_EPJK_PTG_NUS_DPG&f=M
14:54:44 GMT-0500 (hora estándar de Colombia)
Source: U.S. Energy Information Administration
Month,U.S. Kerosene-Type Jet Fuel Retail Sales by Refiners Dollars per Gallon
Mar 2022,3.326
Feb 2022,2.653
Jan 2022,2.451
Dec 2021,2.168
Nov 2021,2.309
Oct 2021,2.303
Sep 2021,2.032
Aug 2021,1.965
Jul 2021,1.981
Jun 2021,1.906
May 2021,1.822
Apr 2021,1.724
Mar 2021,1.763
Feb 2021,1.642
Jan 2021,1.485
Dec 2020,1.395
Nov 2020,1.216
Oct 2020,1.134
Sep 2020,1.11
Aug 2020,1.188
Jul 2020,1.175
Jun 2020,1.046
May 2020,0.728
Apr 2020,0.74
Mar 2020,1.257
Feb 2020,1.667
Jan 2020,1.958
Dec 2019,1.979
Nov 2019,1.979
Oct 2019,1.965
Sep 2019,1.937
Aug 2019,1.901
Jul 2019,1.973
Jun 2019,1.907
May 2019,2.141
Apr 2019,2.063
Mar 2019,2.005
Feb 2019,1.956
Jan 2019,1.827
Dec 2018,1.852
Nov 2018,2.162
Oct 2018,2.349
Sep 2018,2.257
Aug 2018,2.183
Jul 2018,2.176
Jun 2018,2.196
May 2018,2.221
Apr 2018,2.08
Mar 2018,1.924
Feb 2018,1.97
Jan 2018,2.012
Dec 2017,1.869
Nov 2017,1.831
Oct 2017,1.743
Sep 2017,1.795
Aug 2017,1.613
Jul 2017,1.478
Jun 2017,1.434
May 2017,1.492
Apr 2017,1.595
Mar 2017,1.554
Feb 2017,1.615
Jan 2017,1.584
Dec 2016,1.539
Nov 2016,1.426
Oct 2016,1.506
Sep 2016,1.394
Aug 2016,1.33
Jul 2016,1.393
Jun 2016,1.464
May 2016,1.342
Apr 2016,1.187
Mar 2016,1.133
Feb 2016,1.032
Jan 2016,1.038
Dec 2015,1.232
Nov 2015,1.424
Oct 2015,1.473
Sep 2015,1.465
Aug 2015,1.516
Jul 2015,1.694
Jun 2015,1.855
May 2015,1.979
Apr 2015,1.739
Mar 2015,1.766
Feb 2015,1.747
Jan 2015,1.633
Dec 2014,2.028
Nov 2014,2.433
Oct 2014,2.576
Sep 2014,2.834
Aug 2014,2.916
Jul 2014,2.906
Jun 2014,2.945
May 2014,2.965
Apr 2014,2.931
Mar 2014,2.942
Feb 2014,2.994
Jan 2014,2.987
Dec 2013,3.008
Nov 2013,2.883
Oct 2013,2.931
Sep 2013,3.04
Aug 2013,3.002
Jul 2013,2.908
Jun 2013,2.813
May 2013,2.787
Apr 2013,2.922
Mar 2013,3.07
Feb 2013,3.294
Jan 2013,3.117
Dec 2012,3.008
Nov 2012,3.045
Oct 2012,3.211
Sep 2012,3.283
Aug 2012,3.123
Jul 2012,2.856
Jun 2012,2.768
May 2012,3.1
Apr 2012,3.283
Mar 2012,3.337
Feb 2012,3.206
Jan 2012,3.087
Dec 2011,2.963
Nov 2011,3.124
Oct 2011,2.987
Sep 2011,3.059
Aug 2011,3.057
Jul 2011,3.118
Jun 2011,3.138
May 2011,3.22
Apr 2011,3.306
Mar 2011,3.161
Feb 2011,2.818
Jan 2011,2.623
Dec 2010,2.484
Nov 2010,2.374
Oct 2010,2.298
Sep 2010,2.148
Aug 2010,2.158
Jul 2010,2.103
Jun 2010,2.105
May 2010,2.199
Apr 2010,2.272
Mar 2010,2.144
Feb 2010,2.018
Jan 2010,2.129
Dec 2009,2.016
Nov 2009,2.064
Oct 2009,1.93
Sep 2009,1.834
Aug 2009,1.922
Jul 2009,1.774
Jun 2009,1.818
May 2009,1.486
Apr 2009,1.458
