U.S. Aviation Gasoline Retail Sales by Refiners
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=ema_eppv_ptg_nus_dpg&f=a
21:42:29 GMT-0500 (hora estándar de Colombia)
Data source: U.S. Energy Information Administration
Year,U.S. Aviation Gasoline Retail Sales by Refiners Dollars per Gallon
2020,2.685
2019,
2018,
2017,
2016,
2015,
2014,3.986
2013,3.932
2012,3.971
2011,3.803
2010,3.028
2009,2.442
2008,3.273
2007,2.849
2006,2.682
2005,2.231
2004,1.819
2003,1.493
2002,1.288
2001,1.323
2000,1.306
1999,1.059
1998,0.975
1997,1.128
1996,1.116
1995,1.005
1994,0.957
1993,0.99
1992,1.027
1991,1.047
1990,1.12
1989,0.995
1988,0.891
1987,0.907
1986,1.011
1985,1.201
1984,1.234
1983,1.255
1982,1.312
1981,1.303
1980,1.084
1979,0.689
1978,0.516
