Scenario;UserName;ModelName;Studyname;Attribute;Commodity;Process;Period;Region;Vintage;Timeslice;Pv
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2040";"REG1";"2040";"-";"7648,16545215871"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2040";"REG1";"2040";"-";"1659,27319550507"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2040";"REG1";"2040";"-";"1776,82800497023"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2040";"REG1";"2040";"-";"2114,09800640122"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2039";"REG1";"2039";"-";"7493,79080550582"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2039";"REG1";"2039";"-";"1508,92123106965"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2039";"REG1";"2039";"-";"1937,8623615219"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2039";"REG1";"2039";"-";"2058,00660128996"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2038";"REG1";"2038";"-";"7340,64088633681"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2038";"REG1";"2038";"-";"1473,61689048811"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2038";"REG1";"2038";"-";"2093,23063435145"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2038";"REG1";"2038";"-";"2002,34669890007"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2037";"REG1";"2037";"-";"7188,71569465169"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2037";"REG1";"2037";"-";"1450,99382917672"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2037";"REG1";"2037";"-";"2242,9328234589"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2037";"REG1";"2037";"-";"1947,22403143565"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2036";"REG1";"2036";"-";"7039,18652140257"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2036";"REG1";"2036";"-";"1428,3707764125"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2036";"REG1";"2036";"-";"1581,25885488496"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2036";"REG1";"2036";"-";"1892,2409208884"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2035";"REG1";"2035";"-";"6890,84499635412"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2035";"REG1";"2035";"-";"1405,74775224688"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2035";"REG1";"2035";"-";"939,424977606713"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2035";"REG1";"2035";"-";"1837,82253270377"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2034";"REG1";"2034";"-";"6710,17498861831"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2034";"REG1";"2034";"-";"1377,33078162206"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2034";"REG1";"2034";"-";"689,598101969594"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2034";"REG1";"2034";"-";"1792,31597685184"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2033";"REG1";"2033";"-";"6531,21412680679"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2033";"REG1";"2033";"-";"1348,91407233181"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2033";"REG1";"2033";"-";"449,292067543744"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2033";"REG1";"2033";"-";"1747,18827607069"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2032";"REG1";"2032";"-";"6332,23024825525"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2032";"REG1";"2032";"-";"1320,49764396772"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"HOIL";"IMP-HOIL";"2032";"REG1";"2032";"-";"63,851390196073"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2032";"REG1";"2032";"-";"1701,73609549563"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"MOIL";"IMP-MOIL";"2031";"REG1";"2031";"-";"6135,89037839577"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"LOIL";"IMP-LOIL";"2031";"REG1";"2031";"-";"1292,08151612142"
"ibau_p2";"julian";"TIMES-UIS-v1-Nov";"pilot_runs";"Cost_Flo";"GAS";"IMP-GAS";"2031";"REG1";"2031";"-";"1656,66317400014"
